DateTimeUTC,0,1,2,3,4,5,6,7,8,9
2017-01-02 12:00:00,0.04002559,1.051726,2.7601824,-0.9608054,0.7473109,-0.0937143,-0.9480771,0.33383852,0.17338905,-0.12794885
2017-01-02 13:00:00,0.07871258,1.2768915,3.0543604,-1.206115,1.018662,-0.47465032,-1.5200119,0.20095818,0.22397974,-0.41833526
2017-01-02 14:00:00,-0.1812802,0.6757762,2.1249788,-0.6351913,0.5990504,0.06593686,-0.4856014,0.084144965,-0.12678856,-0.028632432
2017-01-02 15:00:00,-0.5046482,0.5321625,1.1121956,0.16280693,-0.11012046,0.6994058,0.3387726,0.20743117,-0.31513152,0.22366948
2017-01-02 16:00:00,-0.3039139,0.15496999,0.42492616,0.5955452,-0.24029443,0.4667299,0.36964926,0.0718624,0.12636283,0.11474806
2017-01-02 17:00:00,-0.32759964,-0.31992203,0.81969535,-0.52425754,0.27168664,0.29824948,0.41740543,0.060827345,-0.36756626,0.13768432
2017-01-02 18:00:00,-0.18116128,-0.26686323,1.3780981,-1.0100836,0.63574934,0.4215143,0.60725844,0.19973975,-0.6139916,0.2310902
2017-01-02 19:00:00,-0.20195156,0.06623262,1.4344449,-0.50355935,0.45186654,0.4799475,0.55371296,0.1962806,-0.24153408,0.3896209
2017-01-02 20:00:00,-0.34334058,0.2256817,1.4470428,-0.32438922,0.2872273,0.5084959,0.59354234,0.33583397,-0.090185136,0.33147654
2017-01-02 21:00:00,-0.33328176,0.3558357,1.5248224,-0.3610853,0.2670856,0.53370535,0.79553676,0.48544532,-0.12064126,0.35342368
2017-01-02 22:00:00,-0.10598254,0.5359374,1.4851171,-0.46911466,0.17948195,0.56966925,0.6367258,0.36125794,-0.13698666,0.41901827
2017-01-02 23:00:00,0.39353096,-0.21713984,1.3524266,-0.51924586,0.35177633,0.8587405,1.3557559,0.7178305,-0.9723147,0.9908784
2017-01-03 00:00:00,1.3439659,-1.1245177,0.78047097,-1.687947,1.0320914,1.3088142,1.3442423,1.397645,-1.5548716,1.3352563
2017-01-03 01:00:00,1.4606632,-1.4363493,0.446445,-1.7231703,0.9264244,1.3207989,1.2464361,1.4116994,-1.3900994,1.3105214
2017-01-03 02:00:00,1.3482972,-1.1882898,0.15700498,-1.0026493,0.5429046,1.0740402,0.5995524,1.0595458,-1.0256288,1.0832438
2017-01-03 03:00:00,0.93985,-1.0556307,-0.22454742,-0.15756708,-0.106295556,0.9013844,0.2245243,0.7605995,-0.469271,0.8638826
2017-01-03 04:00:00,0.6664076,-1.2831416,-0.43731686,0.28727457,-0.16280006,0.6855959,-0.077798575,0.72636664,-0.26565823,0.6039976
2017-01-03 05:00:00,0.5422168,-1.27649,-0.51487434,0.1931892,0.0948586,0.589882,-0.1073688,0.6378518,-0.37872475,0.67989105
2017-01-03 06:00:00,0.6754999,-1.276097,-0.6570672,-0.11014503,0.2189205,0.50596136,-0.09533128,0.56304604,-0.4183793,0.6853218
2017-01-03 07:00:00,0.39378142,-0.69536436,-0.6037855,0.058496535,0.08382724,0.38170728,-0.15910074,0.42469546,-0.30730435,0.4010554
2017-01-03 08:00:00,0.64198697,-1.2164677,-0.55623543,-0.21607351,0.33564267,0.51939917,0.060300976,0.55760956,-0.5821723,0.7243132
2017-01-03 09:00:00,0.6597477,-1.371606,-0.5856147,-0.28860497,0.32937685,0.6274699,0.066966236,0.6053364,-0.55780894,0.8397237
2017-01-03 10:00:00,0.697158,-1.4904875,-0.32547686,-0.43012953,0.3974187,0.7865685,0.4202398,0.7016257,-0.74629843,1.0141256
2017-01-03 11:00:00,0.63315153,-1.1767851,-0.21596041,-0.26991707,0.2766605,0.8728928,0.2670204,0.7785109,-0.55094254,1.0736122
2017-01-03 12:00:00,0.5776552,-1.0306886,-0.055241257,-0.29569918,0.32919705,0.9444299,0.32200325,0.7915362,-0.5728834,1.1501642
2017-01-03 13:00:00,0.8119098,-1.1861594,-0.1476691,-0.28586203,0.45670226,0.8619874,0.5206398,0.9502326,-0.62806404,1.085129
2017-01-03 14:00:00,0.7175554,-1.0808045,-0.19279239,-0.21809,0.3166865,0.7877341,0.30388618,0.872139,-0.5303003,1.0104663
2017-01-03 15:00:00,0.62759256,-0.7548952,-0.31530485,-0.072592616,0.24062186,0.55947995,0.14874813,0.7013922,-0.42933026,0.8072961
2017-01-03 16:00:00,0.4892546,-0.59125066,-0.67378676,0.094240636,-0.012230724,0.37344787,-0.1716946,0.56683344,-0.219348,0.34766513
2017-01-03 17:00:00,0.4362638,-0.39093482,-0.76524055,0.17556658,0.05123055,0.28119183,-0.20929816,0.36465436,-0.16885532,0.17611726
2017-01-03 18:00:00,0.3100748,-0.31633103,-0.76508343,0.17460072,0.22357392,0.15239537,-0.08315781,0.09868823,-0.065880924,0.041138634
