DateTimeUTC,BsR_S12,BbsR_S12,BaCorr2_A13,SSA_700,D3,D24,D27,V_D15,V_D24,Nfrac_coarse
2017-01-02 16:00:00,2.14,0.3,1.04,0.789420495,621.3315472,0.282301643,0.125682254,0.834822659,0.233889838,0.002006035
2017-01-02 17:00:00,3.36,0.54,1.74,0.778128661,463.3890764,0.278824437,0.087072133,1.762440117,0.234503373,0.000761219
2017-01-02 18:00:00,3.59,0.56,2.2,0.745134348,610.3537727,0.263267027,0.205597616,2.080360724,0.221997516,0.001058014
2017-01-02 19:00:00,5.5,1.03,2.27,0.811894024,718.5899897,0.399418252,0.096743213,3.016261652,0.342369702,0.00109124
2017-01-02 20:00:00,5.52,0.87,1.99,0.831382032,428.1074775,0.399895659,0.069795615,3.291642255,0.329654059,0.001477314
2017-01-02 21:00:00,5.4,0.85,1.8,0.838627308,316.7104064,0.855187048,0.180796453,3.353740435,0.730503063,0.002419564
2017-01-02 22:00:00,4.24,0.8,1.47,0.830873277,255.6760337,1.049137201,0.204263205,2.896495334,0.888301442,0.002125572
2017-01-02 23:00:00,1.97,0.44,0.74,0.825281552,137.6765332,0.882357164,0.159080582,1.180686633,0.744025023,0.003025067
2017-01-03 00:00:00,0.66,0.08,0.36,0.771681668,129.7262923,0.451693991,0.039552569,0.588133337,0.37792237,0.002848751
2017-01-03 01:00:00,0.36,0.08,0.28,0.656566664,91.53831831,0.149355573,0.011693935,0.180342645,0.122257199,0.001357517
2017-01-03 02:00:00,0.18,0.13,0.2,0.616378159,61.13973104,0.054775451,0.003234164,0.164372977,0.044172205,0.000815792
2017-01-03 03:00:00,0.44,0.07,0.1,0.867829042,71.64247082,0.111026518,0.026947598,0.102821745,0.09523333,0.000959746
2017-01-03 04:00:00,0.46,0.06,0.06,0.904111945,76.69160928,0.106927482,0.053886397,0.094567031,0.092370701,0.000962771
2017-01-03 05:00:00,0.38,0.11,0.07,0.886179439,99.34458992,0.25185918,0.19917288,0.071006605,0.213358381,0.002926988
2017-01-03 06:00:00,0.41,0.13,0.08,0.857130167,56.61293926,0.406080067,0.248888629,0.055149813,0.345144477,0.005731152
